요일,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수,
일,00시-02시,1718,34,581,1980,202,
일,02시-04시,1173,34,388,1308,129,
일,04시-06시,966,29,386,1049,91,
일,06시-08시,988,24,417,951,92,
일,08시-10시,1536,26,569,1688,167,
일,10시-12시,2257,27,738,2806,317,
일,12시-14시,2885,18,959,3647,386,
일,14시-16시,3184,41,980,4091,431,
일,16시-18시,3209,27,1057,4181,419,
일,18시-20시,3410,43,1100,3854,356,
일,20시-22시,2703,36,834,3045,301,
일,22시-24시,1629,22,503,1871,190,
월,00시-02시,893,18,299,926,98,
월,02시-04시,505,19,181,483,66,
월,04시-06시,842,47,316,789,88,
월,06시-08시,2310,58,789,2363,178,
월,08시-10시,4150,39,1215,4344,423,
월,10시-12시,3449,58,1069,3514,278,
월,12시-14시,3471,46,1079,3583,356,
월,14시-16시,3888,52,1191,4033,369,
월,16시-18시,4395,53,1298,4691,458,
월,18시-20시,4591,52,1362,4597,443,
월,20시-22시,2808,57,851,2854,273,
월,22시-24시,2038,41,619,2132,242,
화,00시-02시,1235,38,394,1352,133,
화,02시-04시,642,22,230,667,66,
화,04시-06시,855,36,352,779,101,
화,06시-08시,2163,51,748,2076,176,
화,08시-10시,4145,35,1234,4259,398,
화,10시-12시,3283,49,1127,3266,295,
화,12시-14시,3374,39,1072,3572,376,
화,14시-16시,3766,46,1201,3823,391,
화,16시-18시,4365,36,1285,4509,466,
화,18시-20시,4881,58,1365,4966,487,
화,20시-22시,3150,40,1003,3201,337,
화,22시-24시,2274,29,666,2474,248,
수,00시-02시,1280,26,420,1394,139,
수,02시-04시,653,21,245,639,93,
수,04시-06시,818,30,334,765,58,
수,06시-08시,2014,40,692,2094,191,
수,08시-10시,3774,41,1069,4027,367,
수,10시-12시,3246,48,1073,3280,303,
수,12시-14시,3279,36,1047,3437,314,
수,14시-16시,3719,52,1173,3725,387,
수,16시-18시,4344,50,1233,4492,416,
수,18시-20시,4990,67,1492,5173,463,
수,20시-22시,3181,45,968,3330,311,
수,22시-24시,2317,37,750,2422,259,
목,00시-02시,1263,37,422,1341,120,
목,02시-04시,749,23,287,816,75,
목,04시-06시,837,39,356,707,74,
목,06시-08시,2020,47,692,1989,153,
목,08시-10시,3953,46,1196,4077,379,
목,10시-12시,3157,36,1060,3181,283,
목,12시-14시,3316,36,1058,3567,310,
목,14시-16시,3589,44,1132,3689,363,
목,16시-18시,4224,49,1216,4304,431,
목,18시-20시,4689,71,1388,4690,491,
목,20시-22시,3143,50,922,3261,320,
목,22시-24시,2301,25,680,2546,226,
금,00시-02시,1343,34,447,1454,133,
금,02시-04시,716,29,254,740,64,
금,04시-06시,884,36,358,805,90,
금,06시-08시,2095,50,734,2076,197,
금,08시-10시,3932,43,1205,4064,390,
금,10시-12시,3337,55,1101,3471,330,
금,12시-14시,3645,45,1175,3764,380,
금,14시-16시,3963,48,1261,4126,422,
금,16시-18시,4770,40,1411,5071,569,
금,18시-20시,5410,50,1507,5743,522,
금,20시-22시,3544,53,1017,3753,405,
금,22시-24시,2783,45,832,2982,295,
토,00시-02시,1976,36,612,2332,193,
토,02시-04시,1265,24,426,1376,135,
토,04시-06시,1157,45,476,1164,147,
토,06시-08시,1588,33,610,1616,128,
토,08시-10시,2481,39,843,2703,234,
토,10시-12시,3542,45,1156,4292,392,
토,12시-14시,4074,35,1210,5003,547,
토,14시-16시,3801,30,1200,4855,457,
토,16시-18시,3852,37,1169,4605,458,
토,18시-20시,3952,58,1228,4480,462,
토,20시-22시,3138,36,1009,3540,336,
토,22시-24시,2365,27,702,2839,243,
,,,,,,,
,,,,,,,
